No.,Channel Name,Receive Frequency,Transmit Frequency,Channel Type,Transmit Power,Band Width,CTCSS/DCS Decode,CTCSS/DCS Encode,Contact,Contact Call Type,Contact TG/DMR ID,Radio ID,Busy Lock/TX Permit,Squelch Mode,Optional Signal,DTMF ID,2Tone ID,5Tone ID,PTT ID,RX Color Code,Slot,Scan List,Receive Group List,PTT Prohibit,Reverse,Simplex TDMA,Slot Suit,AES Digital Encryption,Digital Encryption,Call Confirmation,Talk Around(Simplex),Work Alone,Custom CTCSS,2TONE Decode,Ranging,Through Mode,APRS RX,Analog APRS PTT Mode,Digital APRS PTT Mode,APRS Report Type,Digital APRS Report Channel,Correct Frequency[Hz],SMS Confirmation,Exclude channel from roaming,DMR MODE,DataACK Disable,R5toneBot,R5ToneEot,Auto Scan,Ana Aprs Mute,Send Talker Alias,AnaAprsTxPath,ARC4,ex_emg_kind,TxCC
1,AD9B.MIN TS1,927.9875,902.9875,D-Digital,Turbo,12.5K,Off,Off,Simplex,Group Call,99,,Always,Carrier,Off,1,1,1,Off,14,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,1,Off,Off,Off,Off,Off,Off,1,1,Off,0,1,0,0,0,0,0,0,0,0,0,14
2,AD9B.MIN TS2,927.9875,902.9875,D-Digital,Turbo,12.5K,Off,Off,Simplex,Group Call,99,,Always,Carrier,Off,1,1,1,Off,14,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,1,Off,Off,Off,Off,Off,Off,1,1,Off,0,1,0,0,0,0,0,0,0,0,0,14
3,KA0KMJ.BRO TS1,442.8500,447.8500,D-Digital,Turbo,12.5K,Off,Off,Simplex,Group Call,99,,Always,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,1,Off,Off,Off,Off,Off,Off,1,1,Off,0,1,0,0,0,0,0,0,0,0,0,1
4,KA0KMJ.BRO TS2,442.8500,447.8500,D-Digital,Turbo,12.5K,Off,Off,Simplex,Group Call,99,,Always,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,1,Off,Off,Off,Off,Off,Off,1,1,Off,0,1,0,0,0,0,0,0,0,0,0,1
5,KC0CAP.LIT TS1,443.8000,448.8000,D-Digital,Turbo,12.5K,Off,Off,Simplex,Group Call,99,,Always,Carrier,Off,1,1,1,Off,3,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,1,Off,Off,Off,Off,Off,Off,1,1,Off,0,1,0,0,0,0,0,0,0,0,0,3
6,KC0CAP.LIT TS2,443.8000,448.8000,D-Digital,Turbo,12.5K,Off,Off,Simplex,Group Call,99,,Always,Carrier,Off,1,1,1,Off,3,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,1,Off,Off,Off,Off,Off,Off,1,1,Off,0,1,0,0,0,0,0,0,0,0,0,3
7,KC0NPA.WES TS1,4.4255,4.4255,D-Digital,Turbo,12.5K,Off,Off,Simplex,Group Call,99,,Always,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,1,Off,Off,Off,Off,Off,Off,1,1,Off,0,1,0,0,0,0,0,0,0,0,0,1
8,KC0NPA.WES TS2,4.4255,4.4255,D-Digital,Turbo,12.5K,Off,Off,Simplex,Group Call,99,,Always,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,1,Off,Off,Off,Off,Off,Off,1,1,Off,0,1,0,0,0,0,0,0,0,0,0,1
9,KD0TGF-L.UNK TS1,147.0750,147.6750,D-Digital,Turbo,12.5K,Off,Off,Simplex,Group Call,99,,Always,Carrier,Off,1,1,1,Off,10,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,1,Off,Off,Off,Off,Off,Off,1,1,Off,0,1,0,0,0,0,0,0,0,0,0,10
10,KD0TGF-L.UNK TS2,147.0750,147.6750,D-Digital,Turbo,12.5K,Off,Off,Simplex,Group Call,99,,Always,Carrier,Off,1,1,1,Off,10,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,1,Off,Off,Off,Off,Off,Off,1,1,Off,0,1,0,0,0,0,0,0,0,0,0,10
11,KD0TGF-M.MED TS1,443.7250,448.7250,D-Digital,Turbo,12.5K,Off,Off,Simplex,Group Call,99,,Always,Carrier,Off,1,1,1,Off,2,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,1,Off,Off,Off,Off,Off,Off,1,1,Off,0,1,0,0,0,0,0,0,0,0,0,2
12,KD0TGF-M.MED TS2,443.7250,448.7250,D-Digital,Turbo,12.5K,Off,Off,Simplex,Group Call,99,,Always,Carrier,Off,1,1,1,Off,2,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,1,Off,Off,Off,Off,Off,Off,1,1,Off,0,1,0,0,0,0,0,0,0,0,0,2
13,KD0TGF-W.WAS TS1,442.0250,447.0250,D-Digital,Turbo,12.5K,Off,Off,Simplex,Group Call,99,,Always,Carrier,Off,1,1,1,Off,10,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,1,Off,Off,Off,Off,Off,Off,1,1,Off,0,1,0,0,0,0,0,0,0,0,0,10
14,KD0TGF-W.WAS TS2,442.0250,447.0250,D-Digital,Turbo,12.5K,Off,Off,Simplex,Group Call,99,,Always,Carrier,Off,1,1,1,Off,10,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,1,Off,Off,Off,Off,Off,Off,1,1,Off,0,1,0,0,0,0,0,0,0,0,0,10
15,KF0KYZ.ISA TS1,443.8688,448.8688,D-Digital,Turbo,12.5K,Off,Off,Simplex,Group Call,99,,Always,Carrier,Off,1,1,1,Off,3,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,1,Off,Off,Off,Off,Off,Off,1,1,Off,0,1,0,0,0,0,0,0,0,0,0,3
16,KF0KYZ.ISA TS2,443.8688,448.8688,D-Digital,Turbo,12.5K,Off,Off,Simplex,Group Call,99,,Always,Carrier,Off,1,1,1,Off,3,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,1,Off,Off,Off,Off,Off,Off,1,1,Off,0,1,0,0,0,0,0,0,0,0,0,3
17,N0BVE.RED TS1,442.4750,447.4750,D-Digital,Turbo,12.5K,Off,Off,Simplex,Group Call,99,,Always,Carrier,Off,1,1,1,Off,2,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,1,Off,Off,Off,Off,Off,Off,1,1,Off,0,1,0,0,0,0,0,0,0,0,0,2
18,N0BVE.RED TS2,442.4750,447.4750,D-Digital,Turbo,12.5K,Off,Off,Simplex,Group Call,99,,Always,Carrier,Off,1,1,1,Off,2,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,1,Off,Off,Off,Off,Off,Off,1,1,Off,0,1,0,0,0,0,0,0,0,0,0,2
19,N0BVE.BUR TS1,443.1250,448.1250,D-Digital,Turbo,12.5K,Off,Off,Simplex,Group Call,99,,Always,Carrier,Off,1,1,1,Off,11,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,1,Off,Off,Off,Off,Off,Off,1,1,Off,0,1,0,0,0,0,0,0,0,0,0,11
20,N0BVE.BUR TS2,443.1250,448.1250,D-Digital,Turbo,12.5K,Off,Off,Simplex,Group Call,99,,Always,Carrier,Off,1,1,1,Off,11,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,1,Off,Off,Off,Off,Off,Off,1,1,Off,0,1,0,0,0,0,0,0,0,0,0,11
21,N0BVE.RIV TS1,442.6500,447.6500,D-Digital,Turbo,12.5K,Off,Off,Simplex,Group Call,99,,Always,Carrier,Off,1,1,1,Off,2,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,1,Off,Off,Off,Off,Off,Off,1,1,Off,0,1,0,0,0,0,0,0,0,0,0,2
22,N0BVE.RIV TS2,442.6500,447.6500,D-Digital,Turbo,12.5K,Off,Off,Simplex,Group Call,99,,Always,Carrier,Off,1,1,1,Off,2,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,1,Off,Off,Off,Off,Off,Off,1,1,Off,0,1,0,0,0,0,0,0,0,0,0,2
23,N0DZQ.WIT TS1,444.2312,449.2312,D-Digital,Turbo,12.5K,Off,Off,Simplex,Group Call,99,,Always,Carrier,Off,1,1,1,Off,3,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,1,Off,Off,Off,Off,Off,Off,1,1,Off,0,1,0,0,0,0,0,0,0,0,0,3
24,N0DZQ.WIT TS2,444.2312,449.2312,D-Digital,Turbo,12.5K,Off,Off,Simplex,Group Call,99,,Always,Carrier,Off,1,1,1,Off,3,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,1,Off,Off,Off,Off,Off,Off,1,1,Off,0,1,0,0,0,0,0,0,0,0,0,3
25,N0NKI.BLO TS1,443.1000,448.1000,D-Digital,Turbo,12.5K,Off,Off,Simplex,Group Call,99,,Always,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,1,Off,Off,Off,Off,Off,Off,1,1,Off,0,1,0,0,0,0,0,0,0,0,0,1
26,N0NKI.BLO TS2,443.1000,448.1000,D-Digital,Turbo,12.5K,Off,Off,Simplex,Group Call,99,,Always,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,1,Off,Off,Off,Off,Off,Off,1,1,Off,0,1,0,0,0,0,0,0,0,0,0,1
27,N0NKI.ANO TS1,442.1062,447.1062,D-Digital,Turbo,12.5K,Off,Off,Simplex,Group Call,99,,Always,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,1,Off,Off,Off,Off,Off,Off,1,1,Off,0,1,0,0,0,0,0,0,0,0,0,1
28,N0NKI.ANO TS2,442.1062,447.1062,D-Digital,Turbo,12.5K,Off,Off,Simplex,Group Call,99,,Always,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,1,Off,Off,Off,Off,Off,Off,1,1,Off,0,1,0,0,0,0,0,0,0,0,0,1
29,N0NKI-mt.MIN TS1,443.3000,448.3000,D-Digital,Turbo,12.5K,Off,Off,Simplex,Group Call,99,,Always,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,1,Off,Off,Off,Off,Off,Off,1,1,Off,0,1,0,0,0,0,0,0,0,0,0,1
30,N0NKI-mt.MIN TS2,443.3000,448.3000,D-Digital,Turbo,12.5K,Off,Off,Simplex,Group Call,99,,Always,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,1,Off,Off,Off,Off,Off,Off,1,1,Off,0,1,0,0,0,0,0,0,0,0,0,1
31,N0PQK.FAR TS1,442.8500,447.8500,D-Digital,Turbo,12.5K,Off,Off,Simplex,Group Call,99,,Always,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,1,Off,Off,Off,Off,Off,Off,1,1,Off,0,1,0,0,0,0,0,0,0,0,0,1
32,N0PQK.FAR TS2,442.8500,447.8500,D-Digital,Turbo,12.5K,Off,Off,Simplex,Group Call,99,,Always,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,1,Off,Off,Off,Off,Off,Off,1,1,Off,0,1,0,0,0,0,0,0,0,0,0,1
33,NH7CY.WES TS1,927.9000,902.9000,D-Digital,Turbo,12.5K,Off,Off,Simplex,Group Call,99,,Always,Carrier,Off,1,1,1,Off,11,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,1,Off,Off,Off,Off,Off,Off,1,1,Off,0,1,0,0,0,0,0,0,0,0,0,11
34,NH7CY.WES TS2,927.9000,902.9000,D-Digital,Turbo,12.5K,Off,Off,Simplex,Group Call,99,,Always,Carrier,Off,1,1,1,Off,11,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,1,Off,Off,Off,Off,Off,Off,1,1,Off,0,1,0,0,0,0,0,0,0,0,0,11
35,WA0CQG-B.BLO TS1,442.1500,447.1500,D-Digital,Turbo,12.5K,Off,Off,Simplex,Group Call,99,,Always,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,1,Off,Off,Off,Off,Off,Off,1,1,Off,0,1,0,0,0,0,0,0,0,0,0,1
36,WA0CQG-B.BLO TS2,442.1500,447.1500,D-Digital,Turbo,12.5K,Off,Off,Simplex,Group Call,99,,Always,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,1,Off,Off,Off,Off,Off,Off,1,1,Off,0,1,0,0,0,0,0,0,0,0,0,1
